,min,avg,max,mdev
PLANETLAB2.UTDALLAS.EDU,40.622,40.743,41.812,0.331
,,,,
PLANETLAB2.UTDALLAS.EDU,40.638,40.883,42.329,0.564
,,,,
PLANETLAB2.UTDALLAS.EDU,40.638,40.708,41.22,0.251
,,,,
PLANETLAB2.UTDALLAS.EDU,40.752,41.009,41.181,0.144
,,,,
PLANETLAB2.UTDALLAS.EDU,40.644,40.926,42.346,0.469
,,,,
PLANETLAB2.UTDALLAS.EDU,40.663,41.299,44,0.867
,,,,
PLANETLAB2.UTDALLAS.EDU,40.664,40.792,41.925,0.364
,,,,
PLANETLAB2.UTDALLAS.EDU,40.64,40.945,42.241,0.457
,,,,
PLANETLAB2.UTDALLAS.EDU,40.637,40.768,41.73,0.258
,,,,
PLANETLAB2.UTDALLAS.EDU,40.668,40.744,41.068,0.175
,,,,
PLANETLAB2.UTDALLAS.EDU,40.656,41.054,42.956,0.657
,,,,
PLANETLAB2.UTDALLAS.EDU,40.638,41.126,42.784,0.778
,,,,
PLANETLAB2.UTDALLAS.EDU,40.653,41.255,43.524,0.885
,,,,
PLANETLAB2.UTDALLAS.EDU,40.645,40.968,42.331,0.611
,,,,
PLANETLAB2.UTDALLAS.EDU,40.675,40.952,42.924,0.597
,,,,
PLANETLAB2.UTDALLAS.EDU,40.66,40.878,42.255,0.43
,,,,
PLANETLAB2.UTDALLAS.EDU,40.676,40.784,41.932,0.384
,,,,
PLANETLAB2.UTDALLAS.EDU,40.673,40.94,42.184,0.449
,,,,
PLANETLAB2.UTDALLAS.EDU,40.701,41.313,44.022,0.802
,,,,
PLANETLAB2.UTDALLAS.EDU,40.704,41.145,42.741,0.45
,,,,
PLANETLAB2.UTDALLAS.EDU,40.701,40.858,41.672,0.367
,,,,
PLANETLAB2.UTDALLAS.EDU,40.693,41.312,44.299,1.052
,,,,
PLANETLAB2.UTDALLAS.EDU,40.684,41.061,43.339,0.754
,,,,
PLANETLAB2.UTDALLAS.EDU,40.727,40.852,41.726,0.319
,,,,
PLANETLAB2.UTDALLAS.EDU,40.708,40.815,41.14,0.247
,,,,
PLANETLAB2.UTDALLAS.EDU,40.721,40.977,41.819,0.44
,,,,
PLANETLAB2.UTDALLAS.EDU,40.705,41.107,42.454,0.545
,,,,
PLANETLAB2.UTDALLAS.EDU,40.705,41.054,42.877,0.656
,,,,
PLANETLAB2.UTDALLAS.EDU,40.689,40.859,41.757,0.399
,,,,
PLANETLAB2.UTDALLAS.EDU,40.703,40.785,41.127,0.142
,,,,
PLANETLAB2.UTDALLAS.EDU,40.703,40.984,42.526,0.53
,,,,
PLANETLAB2.UTDALLAS.EDU,40.729,41.307,43.118,0.746
,,,,
PLANETLAB2.UTDALLAS.EDU,40.717,40.957,41.942,0.419
,,,,
PLANETLAB2.UTDALLAS.EDU,40.694,41.199,42.699,0.727
,,,,
PLANETLAB2.UTDALLAS.EDU,40.834,41.476,43.292,0.646
,,,,
PLANETLAB2.UTDALLAS.EDU,40.71,40.802,41.258,0.25
,,,,
PLANETLAB2.UTDALLAS.EDU,40.739,41.103,42.472,0.568
,,,,
PLANETLAB2.UTDALLAS.EDU,40.712,40.852,41.238,0.298
,,,,
