,min,avg,max,mdev
Planetlab1.cs.ucla.edu,24.466,24.556,24.902,0.224
,,,,
Planetlab1.cs.ucla.edu,24.464,24.516,24.663,0.136
,,,,
Planetlab1.cs.ucla.edu,24.468,24.554,25.046,0.172
,,,,
Planetlab1.cs.ucla.edu,24.482,24.552,24.946,0.163
,,,,
Planetlab1.cs.ucla.edu,24.46,24.539,24.889,0.231
,,,,
Planetlab1.cs.ucla.edu,24.482,24.585,24.866,0.121
,,,,
Planetlab1.cs.ucla.edu,24.471,24.568,24.681,0.167
,,,,
Planetlab1.cs.ucla.edu,24.474,24.588,25.01,0.246
,,,,
Planetlab1.cs.ucla.edu,24.476,24.62,24.883,0.16
,,,,
Planetlab1.cs.ucla.edu,24.474,24.572,24.917,0.22
,,,,
Planetlab1.cs.ucla.edu,24.44,24.551,24.963,0.242
,,,,
Planetlab1.cs.ucla.edu,24.457,24.526,24.87,0.194
,,,,
Planetlab1.cs.ucla.edu,24.45,24.604,25.045,0.176
,,,,
Planetlab1.cs.ucla.edu,24.436,24.545,24.763,0.145
,,,,
Planetlab1.cs.ucla.edu,24.451,24.538,24.659,0.101
,,,,
Planetlab1.cs.ucla.edu,24.508,24.791,27.212,0.615
,,,,
Planetlab1.cs.ucla.edu,24.465,24.514,24.598,0.03
,,,,
Planetlab1.cs.ucla.edu,24.454,24.529,24.775,0.225
,,,,
Planetlab1.cs.ucla.edu,24.483,24.601,24.979,0.182
,,,,
Planetlab1.cs.ucla.edu,24.471,24.524,24.644,0.129
,,,,
Planetlab1.cs.ucla.edu,24.467,24.557,24.849,0.106
,,,,
,24.66138996,24.9972973,25.67435907,0.404332046
